no_exp,plot,site_plot,name,N,thin,P,Trial,Region,real_treat,County,lat_wgs84,lon_wgs84,ståndortsindex,age_first,age_last,last_revision,P_kg_ha,N_g_m2,C_m2,N_m2,C.N,org_m2,bd.Cmg_m3,SOL_depth_mm,totN_percent,totC_percent,P_mg_kg,NH4.N_mg_g_soil,NO3.N_mg_g_soil,pine_stand_stem.first,pine_stand_liv.branch.first,pine_stand_dead.branch.first,pine_stand_stump.first,pine_stand_root5cm.first,pine_stand_rootless5cm.first,spruce_stand_stem.first,spruce_stand_liv.branch.first,spruce_stand_dead.branch.first,spruce_stand_stump.first,spruce_stand_root5cm.first,spruce_stand_rootless5cm.first,pine_stand_stem.last,pine_stand_liv.branch.last,pine_stand_dead.branch.last,pine_stand_stump.last,pine_stand_root5cm.last,pine_stand_rootless5cm.last,spruce_stand_stem.last,spruce_stand_liv.branch.last,spruce_stand_dead.branch.last,spruce_stand_stump.last,spruce_stand_root5cm.last,spruce_stand_rootless5cm.last,rev.no.last,pine_thin_stem,pine_thin_liv.branch,pine_thin_dead.branch,pine_thin_stump,pine_thin_root5cm,pine_thin_rootless5cm,spruce_thin_stem,spruce_thin_liv.branch,spruce_thin_dead.branch,spruce_thin_stump,spruce_thin_root5cm,spruce_thin_rootless5cm,pine_thin_stem.rev1,pine_thin_liv.branch.rev1,pine_thin_dead.branch.rev1,pine_thin_stump.rev1,pine_thin_root5cm.rev1,pine_thin_rootless5cm.rev1,spruce_thin_stem.rev1,spruce_thin_liv.branch.rev1,spruce_thin_dead.branch.rev1,spruce_thin_stump.rev1,spruce_thin_root5cm.rev1,spruce_thin_rootless5cm.rev1,tot.stand.pre.start,tot.stand.post.start,tot.stand.end,tot.prod.bio,tot.prod.end.no.thin.res
927,9,927_9,Malå,no_N,no_thin,no_P,F,A,not_thinned,Lappland,65.1325542592,19.107347354,24,45,91,2016,0,0,2225.62468501474,42.5219254758288,52.3406374501992,4105.49278636158,58569070.6582826,38,0.78312,40.989,0.083333333333333,0.016244355263158,3.60131578947369E-05,73514.6444465866,14070.0758546528,2902.10613614693,6508.27436355645,9346.72421771211,6509.61497735742,0,0,0,0,0,0,166764.338604791,17680.5424674403,3997.04613957879,12395.1122015298,20055.9869023694,9268.44633624622,115.446180197928,136.058508690036,7.24198731368721,18.7591691060129,6.48029359271852,38.8645931629889,Revision_8,40167.4241534483,4240.47014520209,1321.46260245478,2657.69981077611,3777.28204028159,2679.21003022843,317.011391216432,205.84545736159,11.3403859459328,17.9828482087329,56.7455204247029,49.0353449927814,1521.86749658271,239.799916538731,63.312909066209,118.893846491148,153.331362296091,132.658740375833,317.011391216432,205.84545736159,11.3403859459328,17.9828482087329,56.7455204247029,49.0353449927814,115822.888610896,113380.087658802,248951.860722014,285985.83311456,200837.03941334
929,10,929_10,Nysund,Nxtra,no_thin,no_P,K,C,not_thinned+N,Närke,59.1719900139,14.3957245618,30,45,91,2016,0,120,4761.4551823855,123.065412080537,38.6904419518742,9152.73859210465,62322711.8113285,76.4,1.0431,40.358,0.073333333333333,0.014981252159273,0,65443.3914089173,11619.2593102851,2491.34797068643,5623.51756837808,8178.79264254488,5528.37415074617,0,0,0,0,0,0,249825.442874425,20768.6537194185,4375.62802770296,17741.2658172603,28985.7121215012,11111.1745928994,1137.67526334729,324.324086145474,81.7275141053534,75.747709191935,58.8472279932275,138.184131697342,Revision_8,40105.250012029,4370.07113788587,1331.01594876214,2709.22158657352,3818.87845273736,2720.21329789996,1093.0941836192,553.002578474298,42.2700521464651,25.1384604996641,168.53701219758,143.50309984227,4655.44714088307,502.80125615157,203.913327073022,298.872538346046,303.461282228349,379.79091795292,1093.0941836192,553.002578474298,42.2700521464651,25.1384604996641,168.53701219758,143.50309984227,107490.802719083,100203.986362625,355182.86545664,391704.578908355,292710.990438806
929,2,929_2,Nysund,no_N,no_thin,no_P,H,C,not_thinned,Närke,59.1719900139,14.3957245618,26,45,91,2016,0,0,2966.43429098895,74.2946230158132,39.9279809301618,5627.56327415542,44837277.6751655,66.16,0.98585,39.363,0.063333333333333,0.010712764537624,0,67552.4718725336,12634.8512001194,2589.13646282167,5968.97876778577,8732.89815589662,5817.77954921016,0,0,0,0,0,0,217273.054216643,22591.3889852006,4567.63203380654,16850.0143225505,27540.9980394228,11191.9611180785,56.2336210355731,47.047817465398,4.80663823185948,7.79154134714431,1.40929982587856,16.8889021575439,Revision_8,42436.8065928992,5055.32803731342,1364.32359638524,3053.91615593219,4473.52489552582,2892.00880019184,967.254304496032,409.90731186847,38.2264706668487,22.801526739573,141.764186058041,111.497030283478,5360.01582079989,875.648443666911,236.737703337207,421.116051870271,503.925269262179,494.981563731965,967.254304496032,409.90731186847,38.2264706668487,22.801526739573,141.764186058041,111.497030283478,113263.476224596,104992.201636313,322019.811346417,361116.585444125,261282.0895582
929,4,929_4,Nysund,no_N,thin,no_P,A,C,thinning,Närke,59.1719900139,14.3957245618,26,45,91,2016,0,0,3476.83718649762,101.423177468588,34.2804995196926,6587.91198160576,61515166.073914,56.52,1.041,35.686,0.053333333333333,0.010683073944248,0,43906.6996095226,8389.67372218343,1766.68853246019,3855.7882457029,5442.22585653543,3941.27096938428,1078.88533557338,446.755693475754,28.7171864566408,109.028784163537,233.692772628778,89.184312536104,94397.6163892719,11160.3010958846,1859.71074760488,8322.50269194096,13531.0930768842,4837.37672125368,1146.12217310747,481.346434297275,102.295390537377,101.087595082241,31.806558708195,211.268398005846,Revision_8,100548.575299304,16141.2095979608,3160.5843635965,8935.96563844816,13764.103765833,7312.11859102849,4313.6388353136,2023.04049459953,130.121305447757,428.033859271258,858.948101104685,445.601219879933,13591.2508265693,2464.64030284745,604.286730588983,1125.64746128045,1380.09578202297,1295.06222657937,2652.61056752552,1400.22543024264,88.4399502662099,37.4769683190353,500.65934839134,327.159540035751,95724.0688418357,73954.712347252,172553.406771392,294244.468344367,115740.130924702
929,6,929_6,Nysund,Nxtra,thin,no_P,F,C,thinning+N,Närke,59.1719900139,14.3957245618,26,45,91,2016,0,120,3398.37498345692,82.5075143783015,41.1886724386724,6486.10317552371,38954321.222569,87.24,0.99792,41.103,0.066666666666667,0.01058993986637,0,44917.3515097569,8675.74954564598,1805.3158109077,3970.4775598449,5624.38371109988,4040.86672843186,602.793676014793,271.496545665611,17.9221321545556,59.981407372004,123.022943076175,59.103836971616,122929.121890604,14884.1948437758,2366.58961501184,11174.264911284,18092.950856332,6255.1715808661,22668.3185411564,6197.85119205241,1598.66922033064,1468.75191766254,1225.18550331701,2632.40721604467,Revision_8,92512.334481731,15773.6262412219,2958.08966572521,8536.25593666209,13117.5053075802,6901.6073122542,4409.1006731598,2134.77210087825,135.950792171348,351.123874406321,876.472552300821,475.644893935297,12645.9096587343,2226.58132939421,567.535500676217,1029.26466259306,1228.93554965147,1203.94746871792,3040.63565231941,1574.89249302054,101.487156961278,38.5855596931621,570.843609886619,369.16630559129,95601.0315173081,74609.2085630755,245374.851530397,359675.961120463,151354.171260675
929,9,929_9,Nysund,Nxtra,thin,Pxtra,G,C,thinning+NP,Närke,59.1719900139,14.3957245618,28,45,91,2016,300,120,3958.26487113069,115.775990117507,34.188996070025,7568.21195350647,59043330.4166272,67.04,1.1196,38.278,0.07,0.012507367978264,0,41909.612576182,8587.74604703956,1769.77841703678,3761.77132079402,5143.67989952264,3982.06743758228,0,0,0,0,0,0,99249.2581034346,10404.9474004484,1750.26702961817,8421.90383011624,13618.3731044352,4665.51182482658,3739.40718845681,1280.7654006531,212.400814013242,278.400040124017,304.910546028722,458.443898885892,Revision_8,120837.694743185,18228.833548149,3754.09989298334,10400.2791453791,15917.7982278204,8578.01386213653,0,0,0,0,0,0,15314.3920050541,2427.65587410129,675.860411609896,1186.55483873397,1403.94694535121,1399.43125859696,0,0,0,0,0,0,88961.9282902017,69144.5887408394,183487.748342318,322101.308600694,119826.376363617
931,1,931_1,Ödestugu,Nxtra,thin,Pxtra,G,D,thinning+NP,Småland,57.5597673475,14.2414054924,27,38,82,2017,300,105,2527.04687292096,93.0326795423854,27.1630021337786,4585.84004214793,63113058.7642597,40.04,1.0779,29.279,0.116666666666667,0.034053644815438,0.0009624495985,36326.522642449,9199.42271947174,1509.68183663581,3699.91990275071,5397.28701430629,3621.71316344535,0,0,0,0,0,0,113426.61587226,15536.6997164773,2119.85471554477,11564.5392167055,18421.8432844115,5839.42608163334,1104.81788837961,646.756664498094,37.8852269401623,119.665155728144,205.668299020178,152.025852958247,Revision_5,68473.85802921,14882.5376122156,2406.99742633634,6870.42579438153,10499.2587949479,5853.75125763195,1751.4987715868,1189.6570786678,71.7898366573667,8.4055612610947,256.485997418709,307.275295002407,11375.2184134781,3141.54073805443,545.172914282934,1148.01430260856,1421.01006122498,1316.44878484255,1751.4987715868,1189.6570786678,71.7898366573667,8.4055612610947,256.485997418709,307.275295002407,83296.2385239848,64212.1872814172,198658.800903876,281747.739429875,142647.709520988
931,5,931_5,Ödestugu,no_N,no_thin,no_P,H,D,not_thinned,Småland,57.5597673475,14.2414054924,27,38,82,2017,0,0,2529.42593393501,72.8414536323831,34.7250886384082,4904.74512776943,51960269.8014587,48.68,0.94485,32.81,0.093333333333333,0.02382745860835,1.83210630951135E-05,36590.3194467961,8890.48546633852,1681.16845875315,3498.77494597293,4487.19078359568,3920.95976036429,0,0,0,0,0,0,153543.701076372,16636.786135249,3295.74739136401,12159.8041502942,19874.9470387587,8076.67297180922,640.53874063454,372.917791030601,32.5885428026691,65.8297421854054,63.6320316280002,113.129368080855,Revision_5,44742.5662411364,5264.1408092146,1528.06999252373,3159.91382770435,4335.210880699,3170.51183708774,0,0,0,0.062549314585185,0.074502245127056,1.37544511768739,2772.39306731407,579.540129935709,141.217079964039,242.202898438302,224.378364186821,317.010836743209,0,0,0,0,0,0,63662.652075146,59852.490961189,233506.987626106,277078.221065253,185636.038753279
931,7,931_7,Ödestugu,no_N,thin,no_P,A,D,thinning,Småland,57.5597673475,14.2414054924,26,38,82,2017,0,0,3201.11869942357,92.3062449866977,34.6793296584091,6429.53974651202,54146121.4381524,59.12,0.90342,31.33,0.066666666666667,0.019350302720062,0,37954.4935907582,9382.74555711291,1520.50338159222,3877.61880271048,5795.83486769651,3652.82874943692,0,0,0,0,0,0,113271.188732039,15536.0000095689,2244.35950364462,11183.5853215752,18013.0955423934,6024.33608217792,375.786418629347,268.440568976563,15.9558351320961,43.9512920474847,52.0191861949387,70.1886714711045,Revision_5,58573.9580558488,12650.6282751511,2033.61967117227,5923.3016292173,9031.42096865903,4968.69427545475,663.448285942555,513.846334198459,27.1966235252181,6.79577421287766,97.9257629149437,129.434014247946,10163.3192181401,2767.79720523373,496.213316657833,1012.42141719799,1200.12869859137,1193.3895740026,663.448285942555,513.846334198459,27.1966235252181,6.79577421287766,97.9257629149437,129.434014247946,81519.8967339275,65824.1201904749,193210.626999265,261719.176834396,142235.133566828
931,8,931_8,Ödestugu,Nxtra,thin,no_P,F,D,thinning+N,Småland,57.5597673475,14.2414054924,28,38,82,2017,0,105,2889.13636384691,110.885702043889,26.0550847457627,5483.21144920306,49675659.6259785,58.16,1.18,30.745,0.08,0.029588519594475,0,35016.6536800274,8243.47668499419,1430.22067039611,3445.81510193745,5026.60965432271,3372.97948104432,0,0,0,0,0,0,125544.610455635,16031.6862231269,2224.33927038175,12463.7217000827,19783.5506576967,6180.4403636549,466.775237424958,310.775035112819,14.5369882141511,55.4800510306541,100.296072969556,66.9412472330788,Revision_5,61482.1669222043,12016.2382876147,2142.89652883792,5847.05118820749,8811.86921657142,5076.94763453503,3233.21895354622,2408.98950037251,128.56596256661,8.663870221482,501.39565739418,604.733791140442,10520.5158199044,2293.62265415193,508.677030891433,940.07721057359,1048.67365680874,1146.79763381437,3233.21895354622,2408.98950037251,128.56596256661,8.4055612610947,500.822658117585,599.995444452068,80420.919548545,60780.5274377496,210207.313777055,285505.890815776,156264.357649227
933,1,933_1,Dimbo,Nxtra,thin,Pxtra,G,C,thinning+NP,Närke,59.113644513,15.7801826723,23,54,96,2015,200,105,3874.92542904415,115.384007699545,33.5828639193596,7490.34226565975,55419414.0309518,69.92,1.3492,45.31,0.07,0.015624775141279,0,29231.5742422058,7159.59053360894,1133.20145929274,3017.67613123435,4602.03459420374,2737.71365336461,0,0,0,0,0,0,85068.1463657084,12617.4573953741,1804.43207758094,8594.50517494676,13906.7880837203,4785.94954994109,31.2870900949142,12.8679629213056,2.29817439608899,2.6384704617482,1.45390313854527,5.15032640868327,Revision_6,45525.8296128357,9926.37708410945,1596.03409902067,4620.68769373694,7119.75064320749,3872.7787919864,1266.47262556525,805.850668887869,84.1606342571355,0.861380146767093,69.410918701513,277.017833370938,15106.7171053336,3737.61699797391,660.52534819235,1485.61561988138,2048.55854242428,1558.89197358326,1266.47262556525,805.850668887869,84.1606342571355,0.861380146767093,69.410918701513,277.017833370938,76265.3644024407,53322.1468820183,147574.281059375,201998.206560519,108084.54101361
933,4,933_4,Dimbo,no_N,no_thin,no_P,H,C,not_thinned,Närke,59.113644513,15.7801826723,22,50,92,2015,0,0,3299.46676637185,100.139930851018,32.9485624598702,6374.03294761389,51813234.3965429,63.68,1.4017,46.184,0.066666666666667,0.012474650797207,1.8691882422206E-05,37248.3483176304,8876.33538652107,1598.22306574822,3614.71131712318,5044.66291568987,3743.5406763836,0,0,0,0,0,0,110142.236607193,17096.7244028789,2937.37114521735,10182.4911464504,16596.7964376267,7151.7411525497,3.42896035585706,4.32527665977175,0.291351031002089,0.625493145851849,0.074502245127056,1.37544511768739,Revision_6,18808.6387308836,2244.47064304114,659.759660756601,1319.07887381209,1843.77074497094,1345.3247964473,456.492222602453,208.360241480488,28.3199173781512,2.06829615563731,30.7319086244536,74.416463691277,0,0,0,0,0,0,456.492222602453,208.360241480488,28.3199173781512,2.06829615563731,30.7319086244536,74.416463691277,60851.7942653376,60233.0383475677,175883.238711605,191138.914420315,140358.82330174
933,5,933_5,Dimbo,no_N,thin,no_P,A,C,thinning,Närke,59.113644513,15.7801826723,23,47,89,2015,0,0,2433.75268660437,57.461292047024,42.3546460565607,4773.01439978271,39586087.9408648,61.48,1.1386,48.225,0.06,0.01521573997711,0,28762.9008385857,7324.75478625207,1256.48836174254,2875.31903377868,3997.06549292877,2990.84380181875,0,0,0,0,0,0,69091.7597040432,10989.4759494656,1706.70789132623,6764.58862011617,11057.1982694403,4314.24670326159,25.0396372694593,33.3041351207716,1.70119056800934,4.46990380682918,1.08734921386549,9.52966191668521,Revision_6,53124.3500357814,10877.463285612,1936.90572436818,5093.23953427909,7684.15247313643,4557.89468248389,71.8319771941719,25.291854628773,6.78697495889929,0.370179925653276,1.79191880046169,11.9024449580759,6571.469260048,1487.54669011092,319.754679799186,597.162201772786,666.48188609821,729.047369527848,71.8319771941719,25.291854628773,6.78697495889929,0.370179925653276,1.79191880046169,11.9024449580759,58413.9546774992,49214.1283161895,125653.177290477,187391.090101676,88552.5321649512
933,6,933_6,Dimbo,Nxtra,thin,no_P,F,C,thinning+N,Närke,59.113644513,15.7801826723,25,45,87,2015,0,105,3569.32595302452,80.2040881878345,44.5030425963489,6902.07696009051,49878786.3754125,71.56,0.96135,42.783,0.07,0.01865085371664,0,29167.0704615231,7366.56674715878,1228.27558098075,2948.45394970145,4248.17900543838,2936.32788952638,0,0,0,0,0,0,96708.9979704524,14301.2112189147,2053.15590791104,9743.11468661719,15770.5501817702,5439.75961265053,510.80573137187,267.004905809418,23.2237487011779,49.5493815626637,62.0196241510767,77.2086026579808,Revision_6,49927.3029535799,10291.5375868948,1791.96092618958,4864.6178503876,7405.13442768743,4241.33673519218,51.6940682593324,31.2744356178097,3.30812913274894,1.12696983769452,3.13009859782649,10.6732737086282,7839.27639656984,1685.35821757995,376.866915512935,696.018110146097,783.370834793787,846.221805824309,51.6940682593324,31.2744356178097,3.30812913274894,1.12696983769452,3.13009859782649,10.6732737086282,61058.7414220254,50235.4147272371,166895.171937974,223629.699027656,122806.479783895
